Rule ID,Title,Severity,STIG Category,Risk Rating,Description
xccdf_org.ssgproject.content_rule_banner_etc_profiled_ssh_confirm,Enable the SSH login confirmation banner,medium,CAT II,Medium,"This rule verifies that that the SSH login confirmation banner is set correctly. The DoD required text is: if [ -n ""$SSH_CLIENT"" ] || [ -n ""$SSH_TTY"" ]; then while true; do read -p "" You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only. By using this IS (which includes any device attached to this IS), you consent to the following conditions: -The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations. -At any time, the USG may inspect and seize data stored on this IS. -Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG- authorized purpose. -This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy. -Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details. Do you agree? [y/N] "" yn case $yn in [Yy]* ) break ;; [Nn]* ) exit 1 ;; esac done fi"
xccdf_org.ssgproject.content_rule_dconf_gnome_banner_enabled,Enable GNOME3 Login Warning Banner,medium,CAT II,Medium,"In the default graphical environment, displaying a login warning banner in the GNOME Display Manager's login screen can be enabled on the login screen by setting banner-message-enable to true. To enable, add or edit banner-message-enable to /etc/dconf/db/gdm.d/00-security-settings. For example: [org/gnome/login-screen] banner-message-enable=true Once the setting has been added, add a lock to /etc/dconf/db/gdm.d/locks/00-security-settings-lock to prevent user modification. For example: /org/gnome/login-screen/banner-message-enable After the settings have been set, run dconf update. The banner text must also be set."
xccdf_org.ssgproject.content_rule_dconf_gnome_login_banner_text,Set the GNOME3 Login Warning Banner Text,medium,CAT II,Medium,"In the default graphical environment, configuring the login warning banner text in the GNOME Display Manager's login screen can be configured on the login screen by setting banner-message-text to 'APPROVED_BANNER' where APPROVED_BANNER is the approved banner for your environment. To enable, add or edit banner-message-text to /etc/gdm3/greeter.dconf-defaults. For example: [org/gnome/login-screen] banner-message-text='APPROVED_BANNER' After the settings have been set, run dconf update. When entering a warning banner that spans several lines, remember to begin and end the string with ' and use \n for new lines."
xccdf_org.ssgproject.content_rule_display_login_attempts,Ensure PAM Displays Last Logon/Access Notification,low,CAT III,Low,"To configure the system to notify users of last logon/access using pam_lastlog, add or correct the pam_lastlog settings in /etc/pam.d/login to include showfailed option, such as: session required pam_lastlog.so showfailed And make sure that the silent option is not set for this specific line."
xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faildelay_delay,Enforce Delay After Failed Logon Attempts,medium,CAT II,Medium,"To configure the system to introduce a delay after failed logon attempts, add or correct the pam_faildelay settings in /etc/pam.d/common-auth to make sure its delay parameter is at least or greater. For example: auth required pam_faildelay.so delay="
xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_audit,Account Lockouts Must Be Logged,medium,CAT II,Medium,"PAM faillock locks an account due to excessive password failures, this event must be logged."
xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_deny,Lock Accounts After Failed Password Attempts,medium,CAT II,Medium,This rule configures the system to lock out accounts after a number of incorrect login attempts using pam_faillock.so. pam_faillock.so module requires multiple entries in pam files. These entries must be carefully defined to work as expected. Ensure that the file /etc/security/faillock.conf contains the following entry: deny = <count> Where count should be less than or equal to and greater than 0.
xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_interval,Set Interval For Counting Failed Password Attempts,medium,CAT II,Medium,"Utilizing pam_faillock.so, the fail_interval directive configures the system to lock out an account after a number of incorrect login attempts within a specified time period. Ensure that the file /etc/security/faillock.conf contains the following entry: fail_interval = <interval-in-seconds> where interval-in-seconds is or greater."
xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_silent,Do Not Show System Messages When Unsuccessful Logon Attempts Occur,medium,CAT II,Medium,"This rule ensures the system prevents informative messages from being presented to the user pertaining to logon information after a number of incorrect login attempts using pam_faillock.so. pam_faillock.so module requires multiple entries in pam files. These entries must be carefully defined to work as expected. In order to avoid errors when manually editing these files, it is recommended to use the appropriate tools, such as authselect or authconfig, depending on the OS version."
xccdf_org.ssgproject.content_rule_accounts_passwords_pam_faillock_unlock_time,Set Lockout Time for Failed Password Attempts,medium,CAT II,Medium,"This rule configures the system to lock out accounts during a specified time period after a number of incorrect login attempts using pam_faillock.so. Ensure that the file /etc/security/faillock.conf contains the following entry: unlock_time=<interval-in-seconds> where interval-in-seconds is or greater. pam_faillock.so module requires multiple entries in pam files. These entries must be carefully defined to work as expected. In order to avoid any errors when manually editing these files, it is recommended to use the appropriate tools, such as authselect or authconfig, depending on the OS version. If unlock_time is set to 0, manual intervention by an administrator is required to unlock a user. This should be done using the faillock tool."
xccdf_org.ssgproject.content_rule_accounts_password_pam_dcredit,Ensure PAM Enforces Password Requirements - Minimum Digit Characters,medium,CAT II,Medium,"The pam_pwquality module's dcredit parameter controls requirements for usage of digits in a password. When set to a negative number, any password will be required to contain that many digits. When set to a positive number, pam_pwquality will grant +1 additional length credit for each digit. Modify the dcredit setting in /etc/security/pwquality.conf to require the use of a digit in passwords."
xccdf_org.ssgproject.content_rule_accounts_password_pam_dictcheck,Ensure PAM Enforces Password Requirements - Prevent the Use of Dictionary Words,medium,CAT II,Medium,The pam_pwquality module's dictcheck check if passwords contains dictionary words. When dictcheck is set to 1 passwords will be checked for dictionary words.
xccdf_org.ssgproject.content_rule_accounts_password_pam_difok,Ensure PAM Enforces Password Requirements - Minimum Different Characters,medium,CAT II,Medium,The pam_pwquality module's difok parameter sets the number of characters in a password that must not be present in and old password during a password change. Modify the difok setting in /etc/security/pwquality.conf to equal to require differing characters when changing passwords.
xccdf_org.ssgproject.content_rule_accounts_password_pam_enforcing,Ensure PAM Enforces Password Requirements - Enforcing,medium,CAT II,Medium,"Verify that the operating system uses ""pwquality"" to enforce the password complexity rules. Verify the pwquality module is being enforced by operating system by running the following command: $ grep -i enforcing /etc/security/pwquality.conf enforcing = 1 If the value of ""enforcing"" is not ""1"" or the line is commented out, this is a finding."
xccdf_org.ssgproject.content_rule_accounts_password_pam_lcredit,Ensure PAM Enforces Password Requirements - Minimum Lowercase Characters,medium,CAT II,Medium,"The pam_pwquality module's lcredit parameter controls requirements for usage of lowercase letters in a password. When set to a negative number, any password will be required to contain that many lowercase characters. When set to a positive number, pam_pwquality will grant +1 additional length credit for each lowercase character. Modify the lcredit setting in /etc/security/pwquality.conf to require the use of a lowercase character in passwords."
xccdf_org.ssgproject.content_rule_accounts_password_pam_minlen,Ensure PAM Enforces Password Requirements - Minimum Length,medium,CAT II,Medium,The pam_pwquality module's minlen parameter controls requirements for minimum characters required in a password. Add minlen= after pam_pwquality to set minimum password length requirements.
xccdf_org.ssgproject.content_rule_accounts_password_pam_ocredit,Ensure PAM Enforces Password Requirements - Minimum Special Characters,medium,CAT II,Medium,"The pam_pwquality module's ocredit= parameter controls requirements for usage of special (or ""other"") characters in a password. When set to a negative number, any password will be required to contain that many special characters. When set to a positive number, pam_pwquality will grant +1 additional length credit for each special character. Modify the ocredit setting in /etc/security/pwquality.conf to equal to require use of a special character in passwords."
xccdf_org.ssgproject.content_rule_accounts_password_pam_ucredit,Ensure PAM Enforces Password Requirements - Minimum Uppercase Characters,medium,CAT II,Medium,"The pam_pwquality module's ucredit= parameter controls requirements for usage of uppercase letters in a password. When set to a negative number, any password will be required to contain that many uppercase characters. When set to a positive number, pam_pwquality will grant +1 additional length credit for each uppercase character. Modify the ucredit setting in /etc/security/pwquality.conf to require the use of an uppercase character in passwords."
xccdf_org.ssgproject.content_rule_set_password_hashing_algorithm_auth_stig,Set Password Hashing Algorithm for PAM,medium,CAT II,Medium,"The PAM system service can be configured to only store encrypted representations of passwords. In ""/etc/pam.d/common-password"", the password section of the file controls which PAM modules to execute during a password change. Set the pam_unix.so module in the password section to include the option sha512 and no other hashing algorithms as shown below: password [success=1 default=ignore] pam_unix.so sha512 other arguments... This will help ensure that new passwords for local users will be stored using the sha512 algorithm."
xccdf_org.ssgproject.content_rule_disable_ctrlaltdel_reboot,Disable Ctrl-Alt-Del Reboot Activation,high,CAT I,High,"By default, SystemD will reboot the system if the Ctrl-Alt-Del key sequence is pressed. To configure the system to ignore the Ctrl-Alt-Del key sequence from the command line instead of rebooting the system, do either of the following: ln -sf /dev/null /etc/systemd/system/ctrl-alt-del.target or systemctl mask ctrl-alt-del.target Do not simply delete the /usr/lib/systemd/system/ctrl-alt-del.service file, as this file may be restored during future system updates."
xccdf_org.ssgproject.content_rule_vlock_installed,Check that vlock is installed to allow session locking,medium,CAT II,Medium,The Ubuntu 24.04 operating system must have vlock installed to allow for session locking. The vlock package can be installed with the following command: $ apt-get install vlock
xccdf_org.ssgproject.content_rule_package_opensc_installed,Install the opensc-pkcs11 Package For Multifactor Authentication,medium,CAT II,Medium,The opensc-pkcs11 package can be installed with the following command: $ apt-get install opensc-pkcs11
xccdf_org.ssgproject.content_rule_install_smartcard_packages,Install Smart Card Packages For Multifactor Authentication,medium,CAT II,Medium,Configure the operating system to implement multifactor authentication by installing the required package with the following command: The libpam-pkcs11 package can be installed with the following command: $ apt-get install libpam-pkcs11
xccdf_org.ssgproject.content_rule_smartcard_configure_ca,Configure Smart Card Certificate Authority Validation,medium,CAT II,Medium,"Configure the operating system to do certificate status checking for PKI authentication. Modify all of the cert_policy lines in /etc/pam_pkcs11/pam_pkcs11.conf to include ca like so: cert_policy = ca, ocsp_on, signature;"
xccdf_org.ssgproject.content_rule_smartcard_configure_cert_checking,Configure Smart Card Certificate Status Checking,medium,CAT II,Medium,"Configure the operating system to do certificate status checking for PKI authentication. Modify all of the cert_policy lines in /etc/pam_pkcs11/pam_pkcs11.conf to include ocsp_on like so: cert_policy = ca, ocsp_on, signature;"
xccdf_org.ssgproject.content_rule_smartcard_configure_crl,Configure Smart Card Local Cache of Revocation Data,medium,CAT II,Medium,"Configure the operating system for PKI-based authentication to use local revocation data when unable to access the network to obtain it remotely. Modify all of the cert_policy lines in /etc/pam_pkcs11/pam_pkcs11.conf to include crl_auto or crl_offline like so: cert_policy = ca,signature,ocsp_on,crl_auto;"
xccdf_org.ssgproject.content_rule_smartcard_pam_enabled,Enable Smart Card Logins in PAM,medium,CAT II,Medium,"This requirement only applies to components where this is specific to the function of the device or has the concept of an organizational user (e.g., VPN, proxy capability). This does not apply to authentication for the purpose of configuring the device itself (management). Add or update the following line in /etc/pam.d/common-auth, placing it above any lines containing pam_unix.so: auth [success=2 default=ignore] pam_pkcs11.so For general information about enabling smart card authentication, consult the documentation at: https://pages.ubuntu.com/rs/066-EOV-335/images/SmartCardLogin_WhitePapaer_04.03.20.pdf"
xccdf_org.ssgproject.content_rule_account_disable_post_pw_expiration,Set Account Expiration Following Inactivity,medium,CAT II,Medium,"To specify the number of days after a password expires (which signifies inactivity) until an account is permanently disabled, add or correct the following line in /etc/default/useradd: INACTIVE= If a password is currently on the verge of expiration, then day(s) remain(s) until the account is automatically disabled. However, if the password will not expire for another 60 days, then 60 days plus day(s) could elapse until the account would be automatically disabled. See the useradd man page for more information."
xccdf_org.ssgproject.content_rule_accounts_maximum_age_login_defs,Set Password Maximum Age,medium,CAT II,Medium,"To specify password maximum age for new accounts, edit the file /etc/login.defs and add or correct the following line: PASS_MAX_DAYS The profile requirement is ."
xccdf_org.ssgproject.content_rule_accounts_minimum_age_login_defs,Set Password Minimum Age,medium,CAT II,Medium,"To specify password minimum age for new accounts, edit the file /etc/login.defs and add or correct the following line: PASS_MIN_DAYS A value of 1 day is considered sufficient for many environments. The profile requirement is ."
xccdf_org.ssgproject.content_rule_accounts_password_pam_unix_rounds_password_auth,Set number of Password Hashing Rounds - password-auth,medium,CAT II,Medium,"Configure the number or rounds for the password hashing algorithm. This can be accomplished by using the rounds option for the pam_unix PAM module. In file /etc/pam.d/common-password append rounds= to the pam_unix.so entry, as shown below: password [success=1 default=ignore] pam_unix.so ...existing_options... rounds="
xccdf_org.ssgproject.content_rule_no_empty_passwords,Prevent Login to Accounts With Empty Password,high,CAT I,High,"If an account is configured for password authentication but does not have an assigned password, it may be possible to log into the account without authentication. Remove any instances of the nullok in /etc/pam.d/common-auth and /etc/pam.d/common-password to prevent logins with empty passwords."
xccdf_org.ssgproject.content_rule_accounts_max_concurrent_login_sessions,Limit the Number of Concurrent Login Sessions Allowed Per User,low,CAT III,Low,Limiting the number of allowed users and sessions per user can limit risks related to Denial of Service attacks. This addresses concurrent sessions for a single account and does not address concurrent sessions by a single user via multiple accounts. To set the number of concurrent sessions per user add the following line in /etc/security/limits.conf or a file under /etc/security/limits.d/: * hard maxlogins
xccdf_org.ssgproject.content_rule_accounts_tmout,Set Interactive Session Timeout,medium,CAT II,Medium,"Setting the TMOUT option in /etc/profile ensures that all user sessions will terminate based on inactivity. A value of 0 (zero) disables the automatic logout feature and is therefore not a compliant setting. The value of TMOUT should be a positive integer, exported, and read only. The TMOUT setting in a file loaded by /etc/profile, e.g. /etc/profile.d/tmout.sh should read as follows: TMOUT= readonly TMOUT export TMOUT"
xccdf_org.ssgproject.content_rule_accounts_umask_etc_login_defs,Ensure the Default Umask is Set Correctly in login.defs,medium,CAT II,Medium,"To ensure the default umask controlled by /etc/login.defs is set properly, add or correct the UMASK setting in /etc/login.defs to read as follows: UMASK"
xccdf_org.ssgproject.content_rule_grub2_password,Set Boot Loader Password in grub2,high,CAT I,High,"The grub2 boot loader should have a superuser account and password protection enabled to protect boot-time settings. Since plaintext passwords are a security risk, generate a hash for the password by running the following command: # grub2-mkpasswd-pbkdf2 When prompted, enter the password that was selected. Using the hash from the output, modify the /etc/grub.d/40_custom file with the following content: set superusers=""boot"" password_pbkdf2 boot grub.pbkdf2.sha512.VeryLongString NOTE: the bootloader superuser account and password MUST differ from the root account and password. Once the superuser password has been added, update the grub.cfg file by running: update-grub"
xccdf_org.ssgproject.content_rule_grub2_uefi_password,Set the UEFI Boot Loader Password,high,CAT I,High,"The grub2 boot loader should have a superuser account and password protection enabled to protect boot-time settings. Since plaintext passwords are a security risk, generate a hash for the password by running the following command: # grub2-mkpasswd-pbkdf2 When prompted, enter the password that was selected. Using the hash from the output, modify the /etc/grub.d/40_custom file with the following content: set superusers=""boot"" password_pbkdf2 boot grub.pbkdf2.sha512.VeryLongString NOTE: the bootloader superuser account and password MUST differ from the root account and password. Once the superuser password has been added, update the grub.cfg file by running: update-grub"
xccdf_org.ssgproject.content_rule_rsyslog_remote_access_monitoring,Ensure remote access methods are monitored in Rsyslog,medium,CAT II,Medium,"Logging of remote access methods must be implemented to help identify cyber attacks and ensure ongoing compliance with remote access policies are being audited and upheld. An examples of a remote access method is the use of the Remote Desktop Protocol (RDP) from an external, non-organization controlled network. The /etc/rsyslog.d/50-default.conf file should contain a match for the following selectors: auth.*, authpriv.*, and daemon.*. If not, use the following as an example configuration: auth.*;authpriv.* /var/log/secure daemon.* /var/log/messages"
xccdf_org.ssgproject.content_rule_dir_permissions_system_journal,Verify Permissions on the system journal directories,medium,CAT II,Medium,"Verify the /run/log/journal and /var/log/journal directories have permissions set to ""2750"" or less permissive by using the following command: $ sudo find /run/log/journal /var/log/journal -type d -exec stat -c ""%n %a"" {} \; If any output returned has a permission set greater than ""2750"", this is a finding."
xccdf_org.ssgproject.content_rule_file_permissions_journalctl,Verify Permissions on the journal command,medium,CAT II,Medium,"Verify that the ""journalctl"" command has a permission set of ""740"" by using the following command: $ sudo find /usr/bin/journalctl -exec stat -c ""%n %a"" {} \; If ""journalctl"" is not set to ""740"", this is a finding."
xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_tcp_syncookies,Enable Kernel Parameter to Use TCP Syncookies on Network Interfaces,medium,CAT II,Medium,"To set the runtime status of the net.ipv4.tcp_syncookies kernel parameter, run the following command: $ sudo sysctl -w net.ipv4.tcp_syncookies=1 To make sure that the setting is persistent, add the following line to a file in the directory /etc/sysctl.d: net.ipv4.tcp_syncookies = 1"
xccdf_org.ssgproject.content_rule_check_ufw_active,Verify ufw Active,medium,CAT II,Medium,"Verify the ufw is enabled on the system with the following command: # sudo ufw status If the above command returns the status as ""inactive"" or any type of error, this is a finding."
xccdf_org.ssgproject.content_rule_ufw_rate_limit,ufw Must rate-limit network interfaces,medium,CAT II,Medium,"The operating system must configure the uncomplicated firewall to rate-limit impacted network interfaces. Check all the services listening to the ports with the following command: $ sudo ss -l46ut Netid State Recv-Q Send-Q Local Address:Port Peer Address:Port Process tcp LISTEN 0 128 [::]:ssh [::]:* For each entry, verify that the ufw is configured to rate limit the service ports with the following command: $ sudo ufw status If any port with a state of ""LISTEN"" is not marked with the ""LIMIT"" action, run the following command, replacing ""service"" with the service that needs to be rate limited: $ sudo ufw limit ""service"" Rate-limiting can also be done on an interface. An example of adding a rate-limit on the eth0 interface follows: $ sudo ufw limit in on eth0"
xccdf_org.ssgproject.content_rule_file_permissions_var_log_stig,Verify permissions of log files,medium,CAT II,Medium,"Any operating system providing too much information in error messages risks compromising the data and security of the structure, and content of error messages needs to be carefully considered by the organization. Organizations carefully consider the structure/content of error messages. The extent to which information systems are able to identify and handle error conditions is guided by organizational policy and operational requirements. Information that could be exploited by adversaries includes, for example, erroneous logon attempts with passwords entered by mistake as the username, mission/business information that can be derived from (if not stated explicitly by) information recorded, and personal information, such as account numbers, social security numbers, and credit card numbers."
xccdf_org.ssgproject.content_rule_kernel_module_usb-storage_disabled,Disable Modprobe Loading of USB Storage Driver,medium,CAT II,Medium,"To prevent USB storage devices from being used, configure the kernel module loading system to prevent automatic loading of the USB storage driver. To configure the system to prevent the usb-storage kernel module from being loaded, add the following line to the file /etc/modprobe.d/usb-storage.conf: install usb-storage /bin/false This entry will cause a non-zero return value during a usb-storage module installation and additionally convey the meaning of the entry to the user in form of an error message. If you would like to omit a non-zero return value and an error message, you may want to add a different line instead (both /bin/true and /bin/false are allowed by OVAL and will be accepted by the scan): install usb-storage /bin/true This will prevent the modprobe program from loading the usb-storage module, but will not prevent an administrator (or another program) from using the insmod program to load the module manually."
xccdf_org.ssgproject.content_rule_sysctl_kernel_dmesg_restrict,Restrict Access to Kernel Message Buffer,low,CAT III,Low,"To set the runtime status of the kernel.dmesg_restrict kernel parameter, run the following command: $ sudo sysctl -w kernel.dmesg_restrict=1 To make sure that the setting is persistent, add the following line to a file in the directory /etc/sysctl.d: kernel.dmesg_restrict = 1"
xccdf_org.ssgproject.content_rule_sysctl_kernel_randomize_va_space,Enable Randomized Layout of Virtual Address Space,medium,CAT II,Medium,"To set the runtime status of the kernel.randomize_va_space kernel parameter, run the following command: $ sudo sysctl -w kernel.randomize_va_space=2 To make sure that the setting is persistent, add the following line to a file in the directory /etc/sysctl.d: kernel.randomize_va_space = 2"
